"Ort","Postleitzahl","Installierte Leistung in KW","Inbetriebnahme","ZE-Kanton"
"Rueras",,"1.500","1979","Graubünden"
"Sedrun",,"2.000","1945","Graubünden"
"Sedrun",,"150.000","1968","Graubünden"
"Sedrun",,"0.750","1968","Graubünden"
"Tavanasa",,"180.000","1962","Graubünden"
"Somvix",,"24.870","1947","Graubünden"
"Trun",,"4.230","1999","Graubünden"
"Trun",,"0.600","1943","Graubünden"
""Dardin"," Casut"",,"0.400","2008","Graubünden"
"Tavanasa",,"4.000","1946","Graubünden"
""Obersaxen"," St. Joseph"",,"4.260","2017","Graubünden"
"Tavanasa",,"12.500","1960","Graubünden"
"Waltensburg",,"5.100","1973","Graubünden"
"Ilanz",,"34.500","1990","Graubünden"
"Ilanz",,"49.500","1992","Graubünden"
""Vals"," Staumauer Zervreila"",,"22.000","1958","Graubünden"
"Safien Platz",,"90.000","1957","Graubünden"
"Rothenbrunnen",,"135.000","1958","Graubünden"
"Rothenbrunnen",,"26.000","1949","Graubünden"
""St. Martin"," Lunschania"",,"0.940","1996","Graubünden"
"Sagogn",,"2.820","1963","Graubünden"
"Flims",,"2.620","2012","Graubünden"
"Flims",,"0.640","2012","Graubünden"
"Flims",,"0.300","2013","Graubünden"
"Flims",,"1.730","1904","Graubünden"
"Flims",,"0.880","2011","Graubünden"
"Flims",,"0.280","2011","Graubünden"
"Trin Mulin",,"1.600","1907","Graubünden"
"Trin",,"6.480","1944","Graubünden"
"Ausserferrera",,"180.000","1962","Graubünden"
"Ausserferrera",,"4.400","1963","Graubünden"
"Nufenen",,"0.300","2009","Graubünden"
"Splügen",,"1.800","2012","Graubünden"
"Sufers",,"0.710","1990","Graubünden"
"Andeer",,"220.000","1962","Graubünden"
"Andeer",,"1.600","1968","Graubünden"
""Sils"," Nisellas"",,"247.000","1961","Graubünden"
"Thusis",,"4.600","1968","Graubünden"
"Preda bei Bergün",,"0.900","1903","Graubünden"
""Davos"," Frauenkirch"",,"0.700","1894","Graubünden"
""Davos"," Glaris"",,"1.130","1899","Graubünden"
"Filisur",,"65.000","1967","Graubünden"
"Tiefencastel",,"24.000","1989","Graubünden"
"Bivio",,"0.650","1936","Graubünden"
"Tinizong-Rona",,"7.000","2016","Graubünden"
"Tinizong",,"69.500","1954","Graubünden"
"Riom - Parsonz",,"1.590","2011","Graubünden"
"Tiefencastel",,"52.000","1970","Graubünden"
"Tiefencastel",,"26.000","1949","Graubünden"
"Vaz/Obervaz",,"7.300","1920","Graubünden"
"Sils im Domleschg",,"26.000","1910","Graubünden"
"Rothenbrunnen",,"44.000","1976","Graubünden"
"Domat-Ems",,"19.060","1962","Graubünden"
"Litzirüti",,"5.000","1969","Graubünden"
""Lüen"," Tewald"",,"3.550","2013","Graubünden"
""Lüen"," Tewald"",,"7.200","1914","Graubünden"
""Chur"," Sand"",,"9.400","1947","Graubünden"
""Chur"," Sand"",,"0.710","1892","Graubünden"
""Churwalden"," Bärgliwäg"",,"0.400","2018","Graubünden"
"Klosters",,"16.500","1925","Graubünden"
"Klosters-Dorf",,"6.100","1928","Graubünden"
"Küblis",,"45.600","1922","Graubünden"
"Seewis",,"11.330","2011","Graubünden"
"Landquart-Fabriken",,"0.500","1901","Graubünden"
"Landquart-Fabriken",,"0.710","1988","Graubünden"
"Vadura",,"279.900","1977","St.Gallen"
"Bad Ragaz",,"90.000","1978","St.Gallen"
"Ragaz",,"0.700","1892","St.Gallen"
"Jenins",,"0.460","1997","Graubünden"
"Vilters",,"1.200","1982","St.Gallen"
""Wangs"," Gaschiels"",,"0.700","1950","St.Gallen"
"Sevelen",,"1.140","1897","St.Gallen"
""Buchs"," Waldrand"",,"0.980","1987","St.Gallen"
""Buchs"," Steig - Aspenhölzli"",,"0.690","1903","St.Gallen"
""Buchs"," Altendorf"",,"3.560","1928","St.Gallen"
""Grabs"," Bannwald"",,"0.440","1959","St.Gallen"
""Grabs"," Löchli"",,"1.430","1899","St.Gallen"
"Sennwald",,"1.220","1912","St.Gallen"
"Lienz",,"0.380","1906","St.Gallen"
""Oberriet"," Blatten"",,"0.380","1906","St.Gallen"
"Montlingen",,"0.380","1906","St.Gallen"
""Heiden"," Hinterlochen"",,"0.720","1902","Appenzell A.Rh."
