"Anlage_Energieträger","Anlagentyp","Leistung [kW]","Anlage_Inbetriebnahme","PLZ","Ort","Anlage_Kanto"
"Photovoltaik","Angebaute Anlage","143","05.11.07","CH-6025","Neudorf","LU"
"Photovoltaik","Angebaute Anlage","143.1","31.08.16","9050","Appenzell","AI"
"Photovoltaik","Integrierte Anlage","143.3","15.12.11","4114","Hofstetten","SO"
"Photovoltaik","Angebaute Anlage","143.3","24.12.10","2545","Selzach","SO"
"Photovoltaik","Angebaute Anlage","143.4","21.06.16","9620","Lichtensteig","SG"
"Photovoltaik","Angebaute Anlage","143.5","29.11.11","8414","Buch am Irchel","ZH"
"Photovoltaik","Angebaute Anlage","143.6","22.12.11","9452","Hinterforst","SG"
"Photovoltaik","Angebaute Anlage","143.8","03.09.15","6312","Steinhausen","ZG"
"Photovoltaik","Angebaute Anlage","143.9","20.12.13","5303","Würenlingen","AG"
"Photovoltaik","Integrierte Anlage","144","01.09.08","8523","Hagenbuch","ZH"
"Photovoltaik","Angebaute Anlage","144","03.11.11","6430","Schwyz","SZ"
"Photovoltaik","Integrierte Anlage","144","27.09.12","9476","Weite","SG"
"Photovoltaik","Angebaute Anlage","144.5","22.01.15","9556","Affeltrangen","TG"
"Photovoltaik","Angebaute Anlage","144.5","04.03.15","5625","Kallern","AG"
"Photovoltaik","Angebaute Anlage","145","18.02.10","1196","Gland","VD"
"Photovoltaik","Angebaute Anlage","145.3","19.12.13","8564","Wagerswil","TG"
"Photovoltaik","Angebaute Anlage","145.4","12.03.15","8965","Berikon","AG"
"Photovoltaik","Angebaute Anlage","145.6","28.06.13","8274","Tägerwilen","TG"
"Photovoltaik","Angebaute Anlage","145.8","16.10.14","8523","Hagenbuch","ZH"
"Photovoltaik","Angebaute Anlage","145.8","02.11.11","1852","Roche","VD"
"Photovoltaik","Angebaute Anlage","146","29.12.11","4588","Unterramsern","SO"
"Photovoltaik","Angebaute Anlage","146.1","02.09.14","6130","Willisau","LU"
"Photovoltaik","Angebaute Anlage","146.2","17.09.15","9203","Niederwil","SG"
"Photovoltaik","Integrierte Anlage","146.2","17.06.11","1553","Châtonnaye","FR"
"Photovoltaik","Angebaute Anlage","146.3","15.11.13","3645","Gwatt","BE"
"Photovoltaik","Angebaute Anlage","146.9","13.08.12","1482","Cugy","FR"
"Photovoltaik","Angebaute Anlage","147.2","18.12.12","6430","Schwyz","SZ"
"Photovoltaik","Angebaute Anlage","147.4","02.01.09","3550","Langnau","BE"
"Photovoltaik","Angebaute Anlage","147.4","27.11.12","6010","Kriens","LU"
"Photovoltaik","Angebaute Anlage","147.4","11.03.15","9478","Azmoos","SG"
"Photovoltaik","Angebaute Anlage","147.6","20.12.11","2544","Bettlach","SO"
"Photovoltaik","Angebaute Anlage","147.7","16.11.12","5430","Wettingen","AG"
"Photovoltaik","Angebaute Anlage","147.8","02.09.10","4056","Basel","BS"
