"Location","Production","Startup",
"Sörenberg","2012.11",
"Bäriswil","2012.11",
"Aarburg","2009.12",
"St-Prex","2012.13",
"Meinier","2012.11",
"Kaltbrunn","2001.09",
"Siblingen","2009.09",
"Sempach","2007.09",
"Gasel","2010.11",
"Semsales","2012.07",
"Unterentfelden","2002.08",
"Rüschegg-Ganbach","2012.11",
"Chêne-Bourg","2012.09",
"Schwanden","2005.12",
"Genève","2007.10",
"Steinen","2008.11",
"Rupperswil","2008.11",
"Bettlach","2008.12",
"Renens","2010.11",
"Sennwald","2003.15",
"Rodels","2012.11",
"Weingarten","2007.08",
"Holziken","2012.13",
"Arlesheim","20.1","2012",
"Aïre","20.1","2010",
"Ausserberg","20.1","2012",
"Ittigen","20.1","2012",
"Wattwil","20.2","2015",
"Appenzell","20.2","2008",
"Contra","20.2","2009",
"Aarau","20.2","2008",
"Donat","20.2","2010",
"Castel San Pietro","20.2","2013",
"Säriswil","20.2","2010",
"Plan-les-Ouates","20.2","2010",
"Mettmenstetten","20.2","2013",
"Bernex","20.2","2010",
"Gebenstorf","20.2","2010",
"Lenzerheide","20.2","2013",
"Blumenstein","20.2","2010",
"Egerkingen","20.2","2011",
"Schwendibach","20.2","2011",
"Giebenach","20.3","2011",
"Lenggenwil","20.3","2012",
"Hämikon","20.3","2015",
"Werthenstein","20.3","2015",
"Eischoll","20.3","2015",
"Basadingen","20.3","2008",
"Buch","20.3","2008",
"Sörenberg","20.3","2011",
"Matten","20.3","2011",
"Kerns","20.3","2012",
"Grossaffoltern","20.4","2012",
"Les Bois","20.4","2011",
"Steinmaur","20.4","2013",
"Ormalingen","20.4","2011",
"Schüpfen","20.5","2012",
"Windisch","20.5","2011",
"Hörhausen","20.5","2011",
"Obfelden","20.5","2012",
"Horw","20.5","2011",
"Binningen","20.5","2009",
"Wil","20.5","2009",
"Ganterschwil","20.5","2010",
"Gunzgen","20.5","2010",
"Marbach","20.5","2011",
"Schneisingen","20.5","2011",
"Basel","20.5","2009",
"Grenchen","20.5","2012",
"Raron","20.5","2011",
"Uettligen","20.6","2007",
"Paradiso","20.6","2009",
"Staffelbach","20.6","2010",
"Steinmaur","20.6","2012",
"Oensingen","20.6","2012",
"Balgach","20.7","2016",
"Oeschgen","20.7","2011",
"Künten","20.7","2011",
"Spiez","20.7","2012",
"Vuissens","20.7","2009",
"Duillier","20.7","2009",
"Oberhasli","20.7","2014",
"Sonvico","20.7","2009",
"Werthenstein","20.7","2009",
"Schönenberg","20.7","2009",
"Muhen","20.7","2009",
"Steinmaur","20.7","2013",
"Detligen","20.7","2015",
"Burgdorf","20.8","2011",
"Kaltbrunn","20.8","2009",
"Lichtensteig","20.8","2016",
"Corcelles-sur-Chavornay","20.8","2007",
"Ranflüh","20.8","2010",
"Gisikon","20.8","2014",
"La Roche","20.8","2013",
"Massagno","20.8","2010",
"Hemberg","20.8","2016",
"Schangnau","20.8","2015",
"Li Curt","20.8","2015",
"Gommiswald","20.8","2011",
"Fahy","20.8","2013",
"Corban","20.9","2015",
"Freidorf","20.9","2015",
"Erstfeld","20.9","2016",
"Erstfeld","20.9","2016",
"Gsteig b. Gstaad","20.9","2009",
"Valeyres-sous-Ursins","20.9","2008",
"LAuberson","20.9","2007",
"Tann","20.9","2009",
"Bätterkinden","20.9","2013",
"Basel","20.9","2010",
"Cadro","20.9","2013",
"Tenna","20.9","2015",
"Ried-Mörel","20.9","2011",
"Ürikon","20.9","2016",
"Röthenbach i.E.","2012.11",
"Alpnach Dorf","2012.09",
"Guggisberg","2001.08",
"Egg","2007.13",
"Degersheim","2005.09",
"Guemlingen","2005.08",
"Lohn","2007.09",
"Detligen","2009.09",
"Busswil bei Büren","2003.14",
"Beckenried","2007.12",
"Ostermundigen","2006.10",
"Gunzwil","2003.13",
"Walde","2011.09",
"Wauwil","2005.12",
"Confignon","2010.11",
"Werthenstein","2002.12",
"Andwil","2010.11",
"Rafz","2003.15",
"Wil","21.1","2011",
"Rebeuvelier","21.1","2012",
"Grossdietwil","21.1","2015",
"Ortschwaben","21.1","2017",
"Frauenfeld","21.1","2008",
"Meyrin","21.1","2013",
"Minusio","21.1","2010",
"Brüttelen","21.1","2012",
"Hellbühl","21.1","2010",
"Rosshäusern","21.1","2011",
"Rothrist","21.2","2009",
"Gwatt","21.2","2012",
"Eysins","21.2","2011",
"Ringoldswil","21.2","2009",
"Kriessern","21.2","2009",
"Lauperswil","21.2","2012",
"Pfäffikon","21.2","2014",
"Herznach","21.2","2010",
"Ruswil","21.2","2010",
"Gonten","21.2","2015",
"Wasen","21.3","2011",
"Pignia","21.3","2012",
"Hellbühl","21.3","2012",
"Bernex","21.3","2010",
"Gähwil","21.3","2011",
"Bubendorf","21.3","2011",
"Ennetbürgen","21.3","2012",
"Kottwil","21.3","2017",
"Muri","21.3","2012",
"Wohlen","21.3","2013",
"Frutigen","21.4","2012",
"Niederrohrdorf","21.4","2012",
"Rieden","21.4","2011",
"Oensingen","21.4","2011",
"Aadorf","21.4","2008",
"Hohentannen","21.4","2008",
"Lanzenneunforn","21.4","2009",
"Egg SZ","21.4","2011",
"Altstätten","21.5","2009",
"Oberhofen","21.5","2010",
"Egnach","21.5","2014",
"Menznau","21.5","2011",
"Müntschemier","21.6","2010",
"Affoltern","21.6","2012",
"Heldswil","21.6","2009",
"Hosenruck","21.6","2008",
"Altnau","21.6","2008",
"Bätterkinden","21.6","2009",
"Les Brenets","21.6","2011",
"Cureglia","21.6","2009",
"Meyrin","21.6","2013",
"Obernau","21.6","2010",
"Hombrechtikon","21.6","2011",
"Châbles","21.6","2006",
"Hallau","21.6","2010",
"Speicherschwendi","21.6","2010",
"Uetikon am See","21.6","2011",
"Neu St. Johann","21.6","2015",
"Steinmaur","21.6","2012",
"Wangen","21.6","2011",
"Mariastein","21.6","2011",
"Schmidigen-Mühleweg","21.6","2015",
"Oberentfelden","21.7","2012",
"La-Chaux-De-Fonds","21.7","2014",
"Chénens","21.7","2011",
"Arzier","21.7","2010",
"Kappel","21.7","2012",
"Zermatt","21.8","2015",
"Scuol","21.8","2013",
"Küsnacht","21.8","2010",
"Sarnen","21.8","2012",
"Utzenstorf","21.8","2008",
"Barzheim","21.8","2008",
"Ebnat-Kappel","21.8","2011",
"Niederrohrdorf","21.8","2013",
"Saas i. P.","21.8","2016",
"La Chaux-de-Fonds","21.8","2016",
"St. Stephan","21.8","2015",
"Gossau","21.8","2016",
"Obbürgen NW","21.8","2015",
"Langenthal","21.8","2012",
"Vallamand","21.9","2012",
"Rumisberg","21.9","2011",
"Hüttwilen","21.9","2007",
"Mézières VD","21.9","2011",
"Frümsen","21.9","2012",
"Canobbio","21.9","2012",
"Sutz","21.9","2011",
"Grüningen","21.9","2011",
"Hedingen","21.9","2011",
"Glarus","2007.09",
"Bettwil","2003.10",
"Mitlödi","2011.12",
"Horgen","2009.10",
"Walenstadt","2003.11",
"Menzberg","2009.12",
"Seewen","2005.11",
"Vaz/Obervaz","2005.16",
"Frümsen","2001.16",
"Hinterfultigen","2011.11",
"Pfeffingen","22.1","2011",
"Menznau","22.1","2012",
"Arlesheim","22.1","2012",
"Riken","22.1","2013",
"Cully","22.1","2011",
"Thayngen","22.1","2012",
"Nennigkofen","22.1","2009",
"Frauenfeld","22.1","2009",
"Oberneunforn","22.1","2008",
"Maur","22.1","2010",
"Gruesch","22.1","2008",
"Willisau","22.1","2008",
"Aegerten","22.1","2012",
"Einsiedeln","22.1","2008",
"Kirchlindach","22.1","2011",
"Basel","22.1","2009",
"Bichwil","22.1","2010",
"Ettiswil","22.1","2011",
"Cossonay-Ville","22.2","2010",
"Bannwil","22.2","2010",
"Gunzgen","22.2","2011",
"Rafz","22.2","2014",
"Vordemwald","22.3","2009",
"Trub","22.3","2013",
"Winistorf","22.3","2011",
"Mellingen","22.3","2010",
"Steinmaur","22.4","2012",
"Yverdon Le Bains","22.4","2014",
"Thun","22.4","2016",
"Uettligen","22.4","2010",
"Basel","22.4","2011",
"Schafhausen","22.4","2012",
"Bitsch","22.4","2011",
"Eggersriet","22.5","2006",
"Hugelshofen","22.5","2011",
"St.Moritz","22.5","2008",
"Lenk im Simmental","22.5","2010",
"Cham","22.5","2012",
"Hettlingen","22.5","2012",
"Meikirch","22.5","2012",
"Oberwil im Simmental","22.5","2011",
"Ftan","22.6","2012",
"Waltenschwil","22.6","2008",
"Lenzburg","22.6","2009",
"Gräslikon","22.6","2008",
"Hinterkappelen","22.6","2012",
"Raron","22.6","2015",
"Wangen an der Aare","22.7","2009",
"Hofstetten b. Brienz","22.7","2011",
"Pfäffikon","22.7","2011",
"Triengen","22.7","2011",
"Hemberg","22.8","2011",
