Location,Production,Startup
Sörenberg,20,19.12.11
Bäriswil,20,05.12.11
Aarburg,20,28.09.12
St-Prex,20,13.12.13
Meinier,20,21.12.11
Kaltbrunn,20,19.01.09
Siblingen,20,01.09.09
Sempach,20,23.07.09
Gasel,20,05.10.11
Semsales,20,01.12.07
Unterentfelden,20,20.02.08
Rüschegg-Ganbach,20,23.12.11
Chêne-Bourg,20,02.12.09
Schwanden,20,11.05.12
Genève,20,30.07.10
Steinen,20,08.08.11
Rupperswil,20,23.08.11
Bettlach,20,29.08.12
Renens,20,31.10.11
Sennwald,20,26.03.15
Rodels,20,12.12.11
Weingarten,20,25.07.08
Holziken,20,09.12.13
Arlesheim,20.1,24.09.12
Aïre,20.1,30.12.10
Ausserberg,20.1,26.07.12
Ittigen,20.1,28.09.12
Wattwil,20.2,21.07.15
Appenzell,20.2,07.10.08
Contra,20.2,28.05.09
Aarau,20.2,14.05.08
Donat,20.2,10.12.10
Castel San Pietro,20.2,07.05.13
Säriswil,20.2,22.10.10
Plan-les-Ouates,20.2,27.04.10
Mettmenstetten,20.2,28.11.13
Bernex,20.2,22.12.10
Gebenstorf,20.2,22.12.10
Lenzerheide,20.2,11.12.13
Blumenstein,20.2,30.12.10
Egerkingen,20.2,28.04.11
Schwendibach,20.2,09.11.11
Giebenach,20.3,21.12.11
Lenggenwil,20.3,14.09.12
Hämikon,20.3,26.03.15
Werthenstein,20.3,27.03.15
Eischoll,20.3,29.09.15
Basadingen,20.3,11.02.08
Buch,20.3,14.03.08
Sörenberg,20.3,16.12.11
Matten,20.3,20.04.11
Kerns,20.3,18.08.12
Grossaffoltern,20.4,30.01.12
Les Bois,20.4,30.06.11
Steinmaur,20.4,27.09.13
Ormalingen,20.4,20.07.11
Schüpfen,20.5,26.07.12
Windisch,20.5,23.12.11
Hörhausen,20.5,11.11.11
Obfelden,20.5,26.09.12
Horw,20.5,19.12.11
Binningen,20.5,29.05.09
Wil,20.5,12.08.09
Ganterschwil,20.5,12.10.10
Gunzgen,20.5,31.10.10
Marbach,20.5,17.08.11
Schneisingen,20.5,10.11.11
Basel,20.5,10.12.09
Grenchen,20.5,22.03.12
Raron,20.5,25.07.11
Uettligen,20.6,05.09.07
Paradiso,20.6,01.06.09
Staffelbach,20.6,25.05.10
Steinmaur,20.6,06.09.12
Oensingen,20.6,12.07.12
Balgach,20.7,24.06.16
Oeschgen,20.7,18.08.11
Künten,20.7,15.07.11
Spiez,20.7,04.09.12
Vuissens,20.7,28.10.09
Duillier,20.7,15.05.09
Oberhasli,20.7,26.05.14
Sonvico,20.7,01.12.09
Werthenstein,20.7,30.11.09
Schönenberg,20.7,26.11.09
Muhen,20.7,17.10.09
Steinmaur,20.7,17.12.13
Detligen,20.7,29.09.15
