"Location","Production","Startup",
"Rueras","1.500","1979",
"Sedrun","2.000","1945",
"Sedrun","150.000","1968",
"Sedrun","0.750","1968",
"Tavanasa","180.000","1962",
"Somvix","24.870","1947",
"Trun","4.230","1999",
"Trun","0.600","1943",
"Dardin, Casut","0.400","2008",
"Tavanasa","4.000","1946",
"Obersaxen, St. Joseph","4.260","2017",
"Tavanasa","12.500","1960",
"Waltensburg","5.100","1973",
"Ilanz","34.500","1990",
"Ilanz","49.500","1992",
"Vals, Staumauer Zervreila","22.000","1958",
"Safien Platz","90.000","1957",
"Rothenbrunnen","135.000","1958",
"Rothenbrunnen","26.000","1949",
"St. Martin, Lunschania","0.940","1996",
"Sagogn","2.820","1963",
"Flims","2.620","2012",
"Flims","0.640","2012",
"Flims","0.300","2013",
"Flims","1.730","1904",
"Flims","0.880","2011",
"Flims","0.280","2011",
"Trin Mulin","1.600","1907",
"Trin","6.480","1944",
"Ausserferrera","180.000","1962",
"Ausserferrera","4.400","1963",
"Nufenen","0.300","2009",
"Splügen","1.800","2012",
"Sufers","0.710","1990",
"Andeer","220.000","1962",
"Andeer","1.600","1968",
"Sils, Nisellas","247.000","1961",
"Thusis","4.600","1968",
"Preda bei Bergün","0.900","1903",
"Davos, Frauenkirch","0.700","1894",
"Davos, Glaris","1.130","1899",
"Filisur","65.000","1967",
"Tiefencastel","24.000","1989",
"Bivio","0.650","1936",
"Tinizong-Rona","7.000","2016",
"Tinizong","69.500","1954",
"Riom - Parsonz","1.590","2011",
"Tiefencastel","52.000","1970",
"Tiefencastel","26.000","1949",
"Vaz/Obervaz","7.300","1920",
"Sils im Domleschg","26.000","1910",
"Rothenbrunnen","44.000","1976",
"Domat-Ems","19.060","1962",
"Litzirüti","5.000","1969",
"Lüen, Tewald","3.550","2013",
"Lüen, Tewald","7.200","1914",
"Chur, Sand","9.400","1947",
"Chur, Sand","0.710","1892",
"Churwalden, Bärgliwäg","0.400","2018",
"Klosters","16.500","1925",
"Klosters-Dorf","6.100","1928",
"Küblis","45.600","1922",
"Seewis","11.330","2011",
"Landquart-Fabriken","0.500","1901",
"Landquart-Fabriken","0.710","1988",
"Vadura","279.900","1977",
"Bad Ragaz","90.000","1978",
"Ragaz","0.700","1892",
"Jenins","0.460","1997",
"Vilters","1.200","1982",
"Wangs, Gaschiels","0.700","1950",
"Sevelen","1.140","1897",
"Buchs, Waldrand","0.980","1987",
"Buchs, Steig - Aspenhölzli","0.690","1903",
"Buchs, Altendorf","3.560","1928",
"Grabs, Bannwald","0.440","1959",
"Grabs, Löchli","1.430","1899",
"Sennwald","1.220","1912",
"Lienz","0.380","1906",
"Oberriet, Blatten","0.380","1906",
"Montlingen","0.380","1906",
"Heiden, Hinterlochen","0.720","1902",
"Untereggen, Lochmüli","0.630","1898",
"Steinach","1.200","2014",
"Schaffhausen","28.900","1964",
"Schaffhausen","5.000","1909",
"Neuhausen","5.600","1951",
"Rheinau","36.800","1956",
"Nesslau, unterer Giessenfall","1.900","1896",
"Nesslau, Schneit","1.250","1909",
"Krummenau","0.840","1945",
"Trempel, Ebnat-Kappel","1.800","1925",
"Ebnat - Kappel","0.860","1903",
"Lichtensteig","0.570","1820",
"Bütschwil","0.980","1861",
"Bütschwil","0.980","1917",
"Mülau bei Bazenheid Kirchberg","1.370","1865",
"Glattmüli","0.350","1893",
"Bischofszell","1.020","1864",
"Rässenaueli","2.500","1905",
"Urnäsch","0.380","1903",
"Urnäsch","0.360","1907",
"St. Gallen","15.000","1900",
"St. Gallen, Sittertal","0.460","1945",
"St. Gallen","0.300","2008",
"Wittenbach","0.480","1895",
"Schönenberg","1.700","2011",
"Schönenberg an der Thur","2.300","2002",
"Bürglen","1.100","1872",
"Bürglen","0.440","1956",
"Bürglen","0.990","2016",
"Bürglen","0.700","1947",
"Weinfelden","0.400","1878",
"Weinfelden","0.400","1948",
"Weinfelden, untere Widen","0.830","1989",
"Matzingen","0.340","1960",
"Frauenfeld, Schlossmühlestr.","0.310","2012",
"Kollbrunn, Gmde. Zell","0.370","1832",
"Sennhof, Illnau-Effretikon","0.470","1860",
"Neftenbach","0.350","1994",
"Hard, Wülflingen in Winterthur","0.580","2015",
"Freienstein","0.600","1832",
"Oberuster","0.420","1816",
"Zweidlen","46.900","1920",
"Reckingen","39.500","1941",
"Hallau","0.420","1895",
"Leibstadt","28.400","2009",
"Albbruck","84.900","1933",
"Laufenburg","110.000","1914",
"Bad Säckingen","73.600","1966",
"Schwörstadt","120.000","1931",
"Schwörstaddt, KW Ryburg-Schw.","0.350","2014",
"Rheinfelden","100.000","1898",
"Rheinfelden","1.800","2011",
"Augst","35.000","1912",
"Grenzach-Wyhlen","38.500","1912",
"Birsfelden","100.000","1955",
"Gorges de Court","0.920","1895",
"Choindez","0.580","1914",
"Undervelier, Blanches-Fontaine","0.320","1897",
"Chez Theurillat, Haute-Sorne","1.030","1920",
"Soyhières","0.520","1905",
"Laufen","0.350","1997",
"Laufen","0.720","1949",
"Zwingen","0.380","1913",
"Nenzlingen","0.340","1942",
"Grellingen","0.980","1945",
"Grellingen","0.500","1864",
"Grellingen","0.550","1861",
"Dornach","1.540","1996",
"Münchenstein","1.070","1998",
"Barrage de Kembs","2.850","1966",
"Barrage de Kembs","8.400","2016",
"Kembs, Loechle","155.000","1932",
"Grimsel, Chessituren","388.000","1981",
"Grimsel, Sommerloch u.Hospiz","33.600","1954",
"Grimsel, Sommerloch, u.Hospiz","32.200","1974",
"Handegg","44.800","1932",
"Handegg","215.600","1950",
"Handegg","55.100","1976",
"Handegg","0.000","1976",
"Guttannen, Blatti","1.290","2016",
"Innertkirchen, Underürbach","2.950","2016",
"Innertkirchen","393.500","1943",
"Underi-Furen, Innertkirchen","9.600","1961",
"Underi-Furen, Innertkirchen","0.000","1961",
"Hopflauenen","81.600","1967",
"Hopflauenen","5.400","1967",
"Innertkirchen","54.800","1967",
"Meiringen, Haselholz","1.650","1950",
"Meiringen","1.000","1889",
"Schattenhalb","1.900","1927",
"Schattenhalb","2.300","2017",
"Schattenhalb","9.700","2010",
"Brienz","0.900","1949",
"Grindelwald","1.400","1960",
"Lütschental","11.900","1908",
"Lauterbrunnen, Stechelberg","4.300","1905",
"Saxeten","0.480","1999",
"Wilderswil","0.800","1998",
"Interlaken, Kanal","0.820","1894",
"Unterseen","0.300","1996",
"Kandersteg, Eggeschwand","2.100","2009",
"Kandersteg, Zilfuri","1.090","1903",
"Kandersteg, Dorf","1.030","1996",
"Inner-Kandergrund","19.000","1911",
"Adelboden, Engstligenalp","0.600","1937",
"Reichenbach, Losplatte","2.750","2017",
"Adelboden, Moosweid","0.350","1903",
"Adelboden","0.500","1996",
"Längmad am Thunersee","18.660","1899",
"St. Stephan, Matten","2.090","2016",
"St. Stephan","0.350","2016",
"Boltigen, Garstatt","2.600","2016",
"Weissenburg","0.370","1898",
"Erlenbach","1.300","1946",
"Erlenbach","18.000","1959",
"Simmenfluh (Wimmis)","9.000","1962",
"Thun","6.320","1962",
"Thun","2.830","1917",
"Thun, Kanal (Uttigenstr.)","0.440","1901",
"Blumenstein","0.640","1918",
"Bern, Matte","1.160","1891",
"Engehalde","0.440","1998",
"Felsenau","11.500","1909",
"Buttenried","44.590","1920",
"Innergsteig","18.000","1966",
"Lauenen bei Gstaad","0.900","2014",
"Gsteig b.Gstaad","0.720","1948",
"Château d'Oex, Gérignoz","0.450","1996",
"Montbovon","31.000","1896",
"Lessoc","8.560","1973",
"Grandvillard","2.900","1999",
"Jaun","0.380","1982",
"Charmey, La Tzintre","0.860","2012",
"Charmey, Le Perré","5.270","1893",
"Broc","25.000","1921",
"Rossens","0.700","1976",
"Rossens","1.700","2005",
"Hauterive","60.000","1902",
"Fribourg, Maigrauge","0.580","1870",
"Fribourg, Oelberg","18.300","1910",
"Weissenburg_Del","0.370","1898",
"Schiffenen","71.000","1964",
"Niederried, Radelfingen","15.000","1963",
"Aarberg","15.200","1968",
"Kallnach","8.300","1913",
"Hagneck","2.910","1900",
"Hagneck","20.960","2015",
"La Dernier","28.000","1903",
"Vallorbe","2.350","1955",
"Les Clées","30.000","1955",
"Montcherand","15.500","1908",
"Orbe","2.600","1894",
"Orbe","0.770","2013",
"Orbe","0.580","1920",
"La Doux / St.Sulpice","0.820","1896",
"St.Sulpice","3.900","1988",
"Noiraigue, Le Furcil","0.680","1956",
"Brot - Dessous","1.110","1896",
"Brot-Dessous, Les Moyats","1.600","1887",
"Boudry, Combe-Garot","4.860","1897",
"Boudry","4.400","1914",
"Boudry","0.500","2014",
"Neuchâtel, Serrières","0.510","1920",
"Neuchâtel, Serrières","0.360","1939",
"Neuchâtel, Serrières","0.320","1939",
"La Serrière, Neuchâtel","1.300","2016",
"Sonceboz","0.390","2005",
"Péry, Rondchâtel","3.000","1883",
"Péry, Frinvillier","0.300","1893",
"Frinvillier","0.350","1869",
"Biel-Bözingen","0.320","1896",
"Bözingen","3.250","1876",
"Brügg","5.200","1995",
"Rüderswil","0.420","1999",
"Gohlhusbrügg, Lützelflüh","0.420","2016",
"Bätterkinden","0.500","1854",
"Bätterkinden","0.400","1855",
"Utzenstorf","0.380","1893",
"Wiler bei Utzenstorf","0.500","1889",
"Biberist","0.500","1864",
"Derendingen","0.330","1863",
"Luterbach","0.860","1876",
"Luterbach","0.320","1888",
"Riedholz","23.400","1970",
