Location,Production,Startup,Lat,Lng,
Rueras,1.5,1979, 46.6749772, 8.7502117,
Sedrun,2,1945, 46.679598, 8.7737237,
Sedrun,150,1968, 46.679598, 8.7737237,
Sedrun,0.75,1968, 46.679598, 8.7737237,
Tavanasa,180,1962, 46.7540917, 9.0623319,
Somvix,24.87,1947, 46.72786079999999, 8.938301599999999,
Trun,4.23,1999, 46.7431522, 8.991023,
Trun,0.6,1943, 46.7431522, 8.991023,
Dardins Casut,0.4,2008, 46.7589562, 9.0490239,
Tavanasa,4,1946, 46.7540917, 9.0623319,
Obersaxens St. Joseph,4.26,2017, 46.74733699999999, 9.0755162,
Tavanasa,12.5,1960, 46.7540917, 9.0623319,
Waltensburg,5.1,1973, 46.77672130000001, 9.1170754,
Ilanz,34.5,1990, 46.77421, 9.20474,
Ilanz,49.5,1992, 46.77421, 9.20474,
Valss Staumauer Zervreila,22,1958, 46.56950759999999, 9.1018592,
Safien Platz,90,1957, 46.6816444, 9.314830400000002,
Rothenbrunnen,135,1958, 46.7682466, 9.4272835,
Rothenbrunnen,26,1949, 46.7682466, 9.4272835,
St. Martins Lunschania,0.94,1996, 46.6607894, 9.189462899999999,
Sagogn,2.82,1963, 46.7923608, 9.25738,
Flims,2.62,2012, 46.8366348, 9.2846923,
Flims,0.64,2012, 46.8366348, 9.2846923,
Flims,0.3,2013, 46.8366348, 9.2846923,
Flims,1.73,1904, 46.8366348, 9.2846923,
Flims,0.88,2011, 46.8366348, 9.2846923,
Flims,0.28,2011, 46.8366348, 9.2846923,
Trin Mulin,1.6,1907, 46.83411, 9.34081,
Trin,6.48,1944, 46.82830449999999, 9.3624372,
Ausserferrera,180,1962, 46.5571049, 9.4392882,
Ausserferrera,4.4,1963, 46.5571049, 9.4392882,
Nufenen,0.3,2009, 46.5394932, 9.2433569,
Splügen,1.8,2012, 46.5528268, 9.3233581,
Sufers,0.71,1990, 46.5705798, 9.3664443,
Andeer,220,1962, 46.6034023, 9.4263657,
Andeer,1.6,1968, 46.6034023, 9.4263657,
Silss Nisellas,247,1961, 46.4321555, 9.7656899,
Thusis,4.6,1968, 46.6960141, 9.439494,
Preda bei Bergün,0.9,1903, 46.5909644, 9.7710533,
Davoss Frauenkirch,0.7,1894, 46.7673762, 9.7975634,
Davoss Glaris,1.13,1899, 46.745568, 9.779931999999999,
Filisur,65,1967, 46.67341529999999, 9.686377,
Tiefencastel,24,1989, 46.6618506, 9.5771616,
Bivio,0.65,1936, 46.4677669, 9.6504508,
Tinizong-Rona,7,2016, 46.5831572, 9.616736,
Tinizong,69.5,1954, 46.5831572, 9.616736,
Riom - Parsonz,1.59,2011, 46.5974706, 9.5731025,
Tiefencastel,52,1970, 46.6618506, 9.5771616,
Tiefencastel,26,1949, 46.6618506, 9.5771616,
Vaz/Obervaz,7.3,1920, 46.72594, 9.557649999999999,
Sils im Domleschg,26,1910, 46.7019286, 9.455598199999999,
Rothenbrunnen,44,1976, 46.7682466, 9.4272835,
Domat-Ems,19.06,1962, 46.8336355, 9.4473545,
Litzirüti,5,1969, 46.7986269, 9.702501,
Lüens Tewald,3.55,2013, 46.8300668, 9.60769,
Lüens Tewald,7.2,1914, 46.8300668, 9.60769,
Churs Sand,9.4,1947, 46.818188, 8.227511999999999,
Churs Sand,0.71,1892, 46.818188, 8.227511999999999,
Churwaldens Bärgliwäg,0.4,2018, 46.7759466, 9.543003299999999,
Klosters,16.5,1925, 46.8699029, 9.882869699999999,
Klosters-Dorf,6.1,1928, 46.8836044, 9.8748316,
Küblis,45.6,1922, 46.9144002, 9.7784561,
Seewis,11.33,2011, 46.9905027, 9.637264199999999,
Landquart-Fabriken,0.5,1901, 46.9563994, 9.5657933,
Landquart-Fabriken,0.71,1988, 46.9563994, 9.5657933,
Vadura,279.9,1977, 46.9574335, 9.4848798,
Bad Ragaz,90,1978, 47.0034141, 9.501106199999999,
Ragaz,0.7,1892, 47.0034141, 9.501106199999999,
Jenins,0.46,1997, 47.0005004, 9.5577461,
Vilters,1.2,1982, 47.0299988, 9.4484028,
Wangss Gaschiels,0.7,1950, 47.0299988, 9.4484028,
Sevelen,1.14,1897, 47.1218764, 9.486948,
Buchss Waldrand,0.98,1987, 47.14991759999999, 9.445118599999999,
Buchss Steig - Aspenhölzli,0.69,1903, 47.15509240000001, 9.462734099999999,
Buchss Altendorf,3.56,1928, 47.1655403, 9.4708594,
Grabss Bannwald,0.44,1959, 47.1825657, 9.444043299999999,
Grabss Löchli,1.43,1899, 47.1764382, 9.4319309,
Sennwald,1.22,1912, 47.2612316, 9.5042435,
Lienz,0.38,1906, 47.3774633, 9.5469133,
Oberriets Blatten,0.38,1906, 47.3199075, 9.564426899999999,
Montlingen,0.38,1906, 47.3341624, 9.5848066,
Heidens Hinterlochen,0.72,1902, 47.4618827, 9.5504069,
Untereggens Lochmüli,0.63,1898, 47.460332, 9.439970299999999,
Steinach,1.2,2014, 47.50321, 9.442079999999999,
Schaffhausen,28.9,1964, 47.6958897, 8.6380489,
Schaffhausen,5,1909, 47.6958897, 8.6380489,
Neuhausen,5.6,1951, 47.6837423, 8.6126098,
Rheinau,36.8,1956, 47.6433, 8.60117,
Nesslaus unterer Giessenfall,1.9,1896, 47.216667, 9.200000000000001,
Nesslaus Schneit,1.25,1909, 47.216667, 9.200000000000001,
Krummenau,0.84,1945, 47.2262651, 9.198864799999999,
Trempels Ebnat-Kappel,1.8,1925, 47.249692, 9.1645554,
Ebnat - Kappel,0.86,1903, 47.26548500000001, 9.1235471,
Lichtensteig,0.57,1820, 47.3239036, 9.087684399999999,
Bütschwil,0.98,1861, 47.3625195, 9.0735291,
Bütschwil,0.98,1917, 47.3625195, 9.0735291,
Mülau bei Bazenheid Kirchberg,1.37,1865, 47.4100702, 9.0788861,
Glattmüli,0.35,1893, 47.3704519, 9.2586126,
Bischofszell,1.02,1864, 47.4927034, 9.2436496,
Rässenaueli,2.5,1905, 47.2805589, 9.422387299999999,
Urnäsch,0.38,1903, 47.3170588, 9.2826442,
Urnäsch,0.36,1907, 47.3170588, 9.2826442,
St. Gallen,15,1900, 47.4244818, 9.3767173,
St. Gallens Sittertal,0.46,1945, 47.41032149999999, 9.3231431,
St. Gallen,0.3,2008, 47.4244818, 9.3767173,
Wittenbach,0.48,1895, 47.4598793, 9.3899899,
Schönenberg,1.7,2011, 47.1932312, 8.644027,
Schönenberg an der Thur,2.3,2002, 47.520833, 9.197778,
Bürglen,1.1,1872, 46.8761523, 8.664463099999999,
Bürglen,0.44,1956, 46.8761523, 8.664463099999999,
Bürglen,0.99,2016, 46.8761523, 8.664463099999999,
